datetime,Power(MW)
1/1/2006 0:00,0.0
1/1/2006 0:05,0.0
1/1/2006 0:10,0.0
1/1/2006 0:15,0.0
1/1/2006 0:20,0.0
1/1/2006 0:25,0.0
1/1/2006 0:30,0.0
1/1/2006 0:35,0.0
1/1/2006 0:40,0.0
1/1/2006 0:45,0.0
1/1/2006 0:50,0.0
1/1/2006 0:55,0.0
1/1/2006 1:00,0.0
1/1/2006 1:05,0.0
1/1/2006 1:10,0.0
1/1/2006 1:15,0.0
1/1/2006 1:20,0.0
1/1/2006 1:25,0.0
1/1/2006 1:29,0.0
1/1/2006 1:34,0.0
1/1/2006 1:39,0.0
1/1/2006 1:44,0.0
1/1/2006 1:49,0.0
1/1/2006 1:54,0.0
1/1/2006 1:59,0.0
1/1/2006 2:04,0.0
1/1/2006 2:09,0.0
1/1/2006 2:14,0.0
1/1/2006 2:19,0.0
1/1/2006 2:24,0.0
1/1/2006 2:29,0.0
1/1/2006 2:34,0.0
1/1/2006 2:39,0.0
1/1/2006 2:44,0.0
1/1/2006 2:49,0.0
1/1/2006 2:54,0.0
1/1/2006 2:59,0.0
1/1/2006 3:04,0.0
1/1/2006 3:09,0.0
1/1/2006 3:14,0.0
1/1/2006 3:19,0.0
1/1/2006 3:24,0.0
1/1/2006 3:29,0.0
1/1/2006 3:34,0.0
1/1/2006 3:39,0.0
1/1/2006 3:44,0.0
1/1/2006 3:49,0.0
1/1/2006 3:54,0.0
1/1/2006 3:59,0.0
1/1/2006 4:04,0.0
1/1/2006 4:09,0.0
1/1/2006 4:14,0.0
1/1/2006 4:19,0.0
1/1/2006 4:24,0.0
1/1/2006 4:29,0.0
1/1/2006 4:34,0.0
1/1/2006 4:39,0.0
1/1/2006 4:44,0.0
1/1/2006 4:49,0.0
1/1/2006 4:54,0.0
1/1/2006 4:59,0.0
1/1/2006 5:04,0.0
1/1/2006 5:09,0.0
1/1/2006 5:14,0.0
1/1/2006 5:19,0.0
1/1/2006 5:24,0.0
1/1/2006 5:29,0.0
1/1/2006 5:34,0.0
1/1/2006 5:39,0.0
1/1/2006 5:44,0.0
1/1/2006 5:49,0.0
1/1/2006 5:54,0.0
1/1/2006 5:59,0.0
1/1/2006 6:04,0.0
1/1/2006 6:09,0.0
